epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.756,1.57666,1.28213,1.0924,0.84796,0.77076,0.84916,0.45691,1.45127,0.85483,1.08417,0.000555107,0.000555107,0.000555107
2,707.874,1.51319,0.89876,1.08241,0.85197,0.76685,0.85313,0.47106,1.42025,0.80474,1.07411,0.00107412,0.00107412,0.00107412
3,1044.7,1.50701,0.85687,1.08118,0.88144,0.79223,0.87218,0.48032,1.43503,0.74803,1.08764,0.00155646,0.00155646,0.00155646
4,1379.71,1.47949,0.8257,1.075,0.88019,0.81292,0.88656,0.49864,1.38902,0.71806,1.0684,0.00150197,0.00150197,0.00150197
5,1710.22,1.47383,0.80101,1.06673,0.887,0.81817,0.89602,0.50911,1.37744,0.68929,1.06006,0.00144696,0.00144696,0.00144696
6,2045.19,1.45393,0.77651,1.06062,0.89945,0.83028,0.90378,0.51331,1.36151,0.66154,1.05661,0.00139195,0.00139195,0.00139195
7,2382.88,1.44016,0.75739,1.05476,0.89564,0.82857,0.89621,0.52162,1.35966,0.65404,1.04978,0.00133693,0.00133693,0.00133693
8,2718.31,1.43499,0.74603,1.05492,0.90541,0.84237,0.9111,0.53216,1.33899,0.63168,1.04552,0.00128192,0.00128192,0.00128192
9,3056.21,1.41953,0.73114,1.05098,0.90651,0.85071,0.91865,0.54042,1.33305,0.61323,1.04231,0.00122691,0.00122691,0.00122691
10,3391.08,1.41786,0.72099,1.04923,0.90702,0.85211,0.91804,0.54116,1.32577,0.6083,1.04064,0.0011719,0.0011719,0.0011719
11,3726.84,1.4026,0.71318,1.04462,0.90683,0.85263,0.91673,0.54385,1.32512,0.60319,1.03835,0.00111689,0.00111689,0.00111689
12,4059.3,1.39808,0.70086,1.0402,0.90937,0.86374,0.92483,0.54905,1.31537,0.59792,1.03529,0.00106188,0.00106188,0.00106188
13,4395.04,1.38533,0.69085,1.03636,0.91314,0.86395,0.92563,0.55236,1.31138,0.57945,1.03488,0.00100687,0.00100687,0.00100687
14,4729.3,1.38909,0.68498,1.03484,0.91639,0.86597,0.92805,0.55538,1.3008,0.5821,1.03284,0.000951857,0.000951857,0.000951857
15,5061.69,1.38257,0.67567,1.03305,0.91814,0.86769,0.92854,0.55412,1.30514,0.57548,1.03169,0.000896846,0.000896846,0.000896846
16,5395.51,1.37362,0.67053,1.0312,0.91635,0.87048,0.9297,0.56034,1.2961,0.56811,1.02604,0.000841835,0.000841835,0.000841835
17,5728.41,1.37286,0.6653,1.02986,0.91906,0.87191,0.93311,0.56402,1.29235,0.56194,1.02658,0.000786824,0.000786824,0.000786824
18,6061.65,1.3707,0.6607,1.02762,0.91794,0.87545,0.93364,0.56424,1.29066,0.55887,1.02685,0.000731813,0.000731813,0.000731813
19,6394.91,1.36859,0.65616,1.0258,0.92215,0.87388,0.93442,0.56767,1.28106,0.55078,1.01872,0.000676802,0.000676802,0.000676802
20,6726.1,1.35714,0.6467,1.02098,0.92185,0.87912,0.93669,0.56843,1.27975,0.54962,1.02145,0.000621791,0.000621791,0.000621791
21,7049.7,1.34384,0.60522,1.02999,0.92188,0.87803,0.93556,0.56926,1.28048,0.55134,1.02328,0.00056678,0.00056678,0.00056678
22,7369.31,1.33507,0.59672,1.02582,0.92285,0.87909,0.93709,0.57238,1.27704,0.54427,1.01943,0.000511769,0.000511769,0.000511769
23,7686.93,1.32832,0.58997,1.02171,0.92171,0.87964,0.9373,0.57252,1.27171,0.5424,1.01715,0.000456758,0.000456758,0.000456758
24,8005.75,1.32032,0.5822,1.02059,0.92291,0.88052,0.93901,0.57456,1.26879,0.53947,1.01593,0.000401747,0.000401747,0.000401747
25,8325.98,1.31665,0.57553,1.01786,0.92518,0.88093,0.93872,0.5763,1.26605,0.53557,1.01521,0.000346736,0.000346736,0.000346736
26,8643.7,1.30888,0.57026,1.01415,0.92453,0.88269,0.93985,0.57712,1.26525,0.53377,1.01428,0.000291725,0.000291725,0.000291725
27,8960.36,1.30079,0.56269,1.01251,0.92653,0.88276,0.94066,0.57747,1.26538,0.52971,1.01329,0.000236714,0.000236714,0.000236714
28,9277.01,1.29518,0.55589,1.0116,0.9259,0.88396,0.94059,0.57909,1.26364,0.52781,1.01441,0.000181703,0.000181703,0.000181703
29,9592.98,1.28651,0.5523,1.00804,0.92528,0.88398,0.94138,0.5795,1.26287,0.52652,1.01353,0.000126692,0.000126692,0.000126692
30,9913.14,1.28459,0.54807,1.00542,0.92509,0.88453,0.94164,0.57985,1.26185,0.52533,1.01319,7.1681e-05,7.1681e-05,7.1681e-05
